demande,request
genre,kind
frère,brother
laisser,let
aucun,no
eux,them
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
revoir,meet again
place,square
savais,knew
étaient,were
attention,Warning
pourrais,could
type,type
donné,given
corps,body
endroit,place
façon,way
écoute,listen
pouvoir,power
vieux,old
matin,morning
tellement,so much
venu,came
suite,after
vers,towards
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
parti,left
nouvelle,new
dirait,would say
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
